,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
214384,Vistara,UK-951,Delhi,Afternoon,one,Evening,Bangalore,Business,4.92,31,50409
214385,Vistara,UK-951,Delhi,Afternoon,one,Night,Bangalore,Business,6.58,31,50409
214386,Vistara,UK-951,Delhi,Afternoon,one,Night,Bangalore,Business,8.5,31,50409
214387,Air_India,AI-762,Delhi,Night,one,Late_Night,Bangalore,Business,5.58,31,52522
214388,Air_India,AI-764,Delhi,Evening,one,Late_Night,Bangalore,Business,8.92,31,52522
214389,Air_India,AI-767,Delhi,Afternoon,one,Late_Night,Bangalore,Business,13.67,31,52522
214390,Air_India,AI-401,Delhi,Early_Morning,one,Late_Night,Bangalore,Business,19,31,52522
214391,Air_India,AI-762,Delhi,Night,one,Night,Bangalore,Business,24.58,31,52522
214392,Air_India,AI-764,Delhi,Evening,one,Night,Bangalore,Business,27.92,31,52522
214393,Vistara,UK-993,Delhi,Afternoon,one,Evening,Bangalore,Business,4.92,31,54777
214394,Vistara,UK-933,Delhi,Afternoon,one,Night,Bangalore,Business,5.42,31,54777
214395,Vistara,UK-993,Delhi,Afternoon,one,Evening,Bangalore,Business,6.42,31,54777
214396,Vistara,UK-933,Delhi,Afternoon,one,Night,Bangalore,Business,7.33,31,54777
214397,Vistara,UK-995,Delhi,Morning,one,Evening,Bangalore,Business,7.42,31,54777
214398,Vistara,UK-993,Delhi,Afternoon,one,Night,Bangalore,Business,8.08,31,54777
214399,Vistara,UK-995,Delhi,Morning,one,Evening,Bangalore,Business,8.92,31,54777
214400,Vistara,UK-993,Delhi,Afternoon,one,Night,Bangalore,Business,10,31,54777
214401,Vistara,UK-981,Delhi,Night,one,Early_Morning,Bangalore,Business,10.17,31,54777
214402,Vistara,UK-995,Delhi,Morning,one,Night,Bangalore,Business,10.58,31,54777
214403,Vistara,UK-981,Delhi,Night,one,Morning,Bangalore,Business,11.17,31,54777
214404,Vistara,UK-995,Delhi,Morning,one,Night,Bangalore,Business,12.5,31,54777
214405,Vistara,UK-981,Delhi,Night,one,Morning,Bangalore,Business,13.08,31,54777
214406,Vistara,UK-933,Delhi,Afternoon,one,Early_Morning,Bangalore,Business,16.33,31,54777
214407,Vistara,UK-955,Delhi,Evening,one,Night,Bangalore,Business,5.08,31,57017
214408,Vistara,UK-963,Delhi,Morning,one,Evening,Bangalore,Business,8.92,31,57017
214409,Vistara,UK-963,Delhi,Morning,one,Evening,Bangalore,Business,10.42,31,57017
214410,Vistara,UK-963,Delhi,Morning,one,Night,Bangalore,Business,12.08,31,57017
214411,Vistara,UK-977,Delhi,Evening,one,Early_Morning,Bangalore,Business,12.83,31,57017
214412,Vistara,UK-977,Delhi,Evening,one,Morning,Bangalore,Business,13.83,31,57017
214413,Vistara,UK-963,Delhi,Morning,one,Night,Bangalore,Business,14,31,57017
214414,Vistara,UK-955,Delhi,Evening,one,Early_Morning,Bangalore,Business,14.08,31,57017
214415,Vistara,UK-955,Delhi,Evening,one,Morning,Bangalore,Business,15.08,31,57017
214416,Vistara,UK-977,Delhi,Evening,one,Morning,Bangalore,Business,15.75,31,57017
214417,Vistara,UK-811,Delhi,Early_Morning,zero,Morning,Bangalore,Business,2.75,31,59509
214418,Vistara,UK-985,Delhi,Evening,one,Early_Morning,Bangalore,Business,12,31,62617
214419,Vistara,UK-985,Delhi,Evening,one,Morning,Bangalore,Business,13,31,62617
214420,Vistara,UK-985,Delhi,Evening,one,Morning,Bangalore,Business,14.92,31,62617
214421,Vistara,UK-943,Delhi,Early_Morning,one,Evening,Bangalore,Business,10.25,31,64969
214422,Vistara,UK-943,Delhi,Early_Morning,one,Evening,Bangalore,Business,11.75,31,64969
214423,Vistara,UK-943,Delhi,Early_Morning,one,Night,Bangalore,Business,13.42,31,64969
214424,Vistara,UK-943,Delhi,Early_Morning,one,Night,Bangalore,Business,15.33,31,64969
214425,Vistara,UK-807,Delhi,Night,zero,Night,Bangalore,Business,2.67,32,32859
214426,Vistara,UK-811,Delhi,Early_Morning,zero,Morning,Bangalore,Business,2.75,32,32859
214427,Vistara,UK-815,Delhi,Morning,zero,Morning,Bangalore,Business,2.75,32,32859
214428,Vistara,UK-819,Delhi,Afternoon,zero,Evening,Bangalore,Business,2.75,32,32859
214429,Vistara,UK-817,Delhi,Evening,zero,Evening,Bangalore,Business,2.75,32,32859
214430,Vistara,UK-813,Delhi,Evening,zero,Night,Bangalore,Business,2.83,32,32859
214431,Vistara,UK-809,Delhi,Evening,zero,Night,Bangalore,Business,2.83,32,32859
214432,Air_India,AI-803,Delhi,Early_Morning,zero,Morning,Bangalore,Business,2.75,32,32859
214433,Air_India,AI-506,Delhi,Morning,zero,Afternoon,Bangalore,Business,2.75,32,32859
214434,Air_India,AI-502,Delhi,Afternoon,zero,Evening,Bangalore,Business,2.75,32,32859
214435,Air_India,AI-807,Delhi,Evening,zero,Night,Bangalore,Business,2.75,32,32859
214436,Air_India,AI-504,Delhi,Night,zero,Late_Night,Bangalore,Business,2.92,32,32859
214437,Air_India,AI-839,Delhi,Night,one,Afternoon,Bangalore,Business,16.92,32,35490
214438,Air_India,AI-544,Delhi,Evening,one,Afternoon,Bangalore,Business,21.08,32,35490
214439,Air_India,AI-811,Delhi,Evening,one,Night,Bangalore,Business,27.25,32,37594
214440,Air_India,AI-423,Delhi,Early_Morning,one,Evening,Bangalore,Business,12.25,32,39783
214441,Air_India,AI-473,Delhi,Evening,one,Afternoon,Bangalore,Business,19.67,32,39783
214442,Vistara,UK-801,Delhi,Morning,zero,Morning,Bangalore,Business,2.75,32,40296
214443,Vistara,UK-951,Delhi,Afternoon,one,Evening,Bangalore,Business,4.92,32,42457
214444,Vistara,UK-951,Delhi,Afternoon,one,Night,Bangalore,Business,6.58,32,42457
214445,Vistara,UK-951,Delhi,Afternoon,one,Night,Bangalore,Business,8.5,32,42457
214446,Vistara,UK-953,Delhi,Night,one,Early_Morning,Bangalore,Business,11.17,32,42457
214447,Vistara,UK-953,Delhi,Night,one,Morning,Bangalore,Business,12.17,32,42457
214448,Vistara,UK-953,Delhi,Night,one,Morning,Bangalore,Business,14.08,32,42457
214449,Air_India,AI-865,Delhi,Morning,one,Evening,Bangalore,Business,7.83,32,42457
214450,Air_India,AI-678,Delhi,Morning,one,Evening,Bangalore,Business,9.5,32,42457
214451,Air_India,AI-665,Delhi,Early_Morning,one,Evening,Bangalore,Business,10.5,32,42457
214452,Air_India,AI-887,Delhi,Early_Morning,one,Evening,Bangalore,Business,11.5,32,42457
