,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
171295,Indigo,6E-879,Hyderabad,Morning,one,Evening,Kolkata,Economy,6.08,8,5293
171296,Indigo,6E-514,Hyderabad,Afternoon,one,Evening,Kolkata,Economy,6.42,8,5293
171297,Indigo,6E-6151,Hyderabad,Morning,one,Evening,Kolkata,Economy,7.25,8,5293
171298,Indigo,6E-514,Hyderabad,Afternoon,one,Night,Kolkata,Economy,8.42,8,5293
171299,Indigo,6E-7076,Hyderabad,Afternoon,one,Night,Kolkata,Economy,8.58,8,5293
171300,Indigo,6E-6467,Hyderabad,Afternoon,one,Night,Kolkata,Economy,8.67,8,5293
171301,SpiceJet,SG-3283,Hyderabad,Evening,one,Evening,Kolkata,Economy,25.08,8,5398
171302,Indigo,6E-371,Hyderabad,Evening,one,Night,Kolkata,Economy,5.5,8,5750
171303,Indigo,6E-7224,Hyderabad,Evening,one,Night,Kolkata,Economy,6.83,8,5750
171304,Indigo,6.00E-283,Hyderabad,Evening,zero,Evening,Kolkata,Economy,2,8,5923
171305,AirAsia,I5-1543,Hyderabad,Afternoon,one,Evening,Kolkata,Economy,5.42,8,6136
171306,Indigo,6.00E-157,Hyderabad,Early_Morning,one,Morning,Kolkata,Economy,5.75,8,6207
171307,Indigo,6E-827,Hyderabad,Morning,one,Evening,Kolkata,Economy,5.75,8,6207
171308,Indigo,6E-6893,Hyderabad,Early_Morning,zero,Early_Morning,Kolkata,Economy,2.17,8,6343
171309,AirAsia,I5-517,Hyderabad,Morning,zero,Afternoon,Kolkata,Economy,2.08,8,6344
171310,Indigo,6E-6358,Hyderabad,Morning,zero,Afternoon,Kolkata,Economy,2.08,8,6499
171311,Air_India,AI-525,Hyderabad,Early_Morning,zero,Morning,Kolkata,Economy,2.08,8,6658
171312,Indigo,6E-6319,Hyderabad,Evening,one,Night,Kolkata,Economy,6.5,8,6663
171313,Indigo,6E-2248,Hyderabad,Afternoon,one,Night,Kolkata,Economy,7.25,8,6663
171314,Indigo,6E-643,Hyderabad,Afternoon,one,Night,Kolkata,Economy,7.5,8,6663
171315,Indigo,6E-2248,Hyderabad,Afternoon,one,Night,Kolkata,Economy,8.25,8,6663
171316,Indigo,6E-384,Hyderabad,Morning,one,Evening,Kolkata,Economy,7.25,8,7120
171317,Indigo,6E-2093,Hyderabad,Morning,one,Evening,Kolkata,Economy,7.67,8,7120
171318,Indigo,6E-944,Hyderabad,Night,zero,Night,Kolkata,Economy,2.08,8,7183
171319,Indigo,6E-995,Hyderabad,Early_Morning,one,Morning,Kolkata,Economy,5.58,8,7577
171320,Indigo,6E-413,Hyderabad,Early_Morning,one,Afternoon,Kolkata,Economy,7.67,8,7577
171321,Indigo,6E-903,Hyderabad,Afternoon,one,Evening,Kolkata,Economy,5,8,8490
171322,Indigo,6E-809,Hyderabad,Afternoon,one,Night,Kolkata,Economy,5.08,8,8490
171323,Indigo,6E-5369,Hyderabad,Evening,one,Night,Kolkata,Economy,6,8,8490
171324,Indigo,6E-886,Hyderabad,Morning,one,Evening,Kolkata,Economy,7,8,8947
171325,Air_India,AI-9885,Hyderabad,Morning,one,Night,Kolkata,Economy,9.33,8,9086
171326,Air_India,AI-9518,Hyderabad,Night,one,Evening,Kolkata,Economy,20.83,8,9178
171327,Air_India,AI-9928,Hyderabad,Night,one,Evening,Kolkata,Economy,21.33,8,9178
171328,AirAsia,I5-974,Hyderabad,Night,one,Morning,Kolkata,Economy,10.83,8,9403
171329,AirAsia,I5-1518,Hyderabad,Evening,one,Morning,Kolkata,Economy,13.25,8,9403
171330,Vistara,UK-878,Hyderabad,Afternoon,one,Evening,Kolkata,Economy,7,8,10962
171331,Vistara,UK-874,Hyderabad,Morning,one,Evening,Kolkata,Economy,11.42,8,10962
171332,Vistara,UK-880,Hyderabad,Afternoon,one,Night,Kolkata,Economy,9.33,8,11319
171333,Vistara,UK-830,Hyderabad,Morning,one,Night,Kolkata,Economy,12.42,8,11319
171334,Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Kolkata,Economy,15.92,8,11319
171335,Vistara,UK-870,Hyderabad,Night,one,Night,Kolkata,Economy,26.17,8,11319
171336,Indigo,6E-6593,Hyderabad,Evening,one,Night,Kolkata,Economy,6.08,8,11231
171337,Indigo,6E-5207,Hyderabad,Morning,one,Afternoon,Kolkata,Economy,7.08,8,11231
171338,Vistara,UK-874,Hyderabad,Morning,one,Evening,Kolkata,Economy,8.33,8,11676
171339,Vistara,UK-876,Hyderabad,Night,one,Morning,Kolkata,Economy,12.08,8,11676
171340,Vistara,UK-878,Hyderabad,Afternoon,one,Morning,Kolkata,Economy,20.75,8,11676
171341,Vistara,UK-874,Hyderabad,Morning,one,Morning,Kolkata,Economy,25.17,8,11676
171342,Vistara,UK-880,Hyderabad,Afternoon,one,Evening,Kolkata,Economy,6.17,8,11854
171343,Vistara,UK-830,Hyderabad,Morning,one,Evening,Kolkata,Economy,7.75,8,11854
171344,Vistara,UK-830,Hyderabad,Morning,one,Evening,Kolkata,Economy,9.25,8,11854
171345,Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Kolkata,Economy,11.25,8,11854
171346,Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Kolkata,Economy,12.75,8,11854
171347,Vistara,UK-870,Hyderabad,Night,one,Evening,Kolkata,Economy,21.5,8,11854
171348,Vistara,UK-890,Hyderabad,Evening,one,Evening,Kolkata,Economy,24.42,8,11854
171349,Air_India,AI-541,Hyderabad,Evening,one,Night,Kolkata,Economy,6.08,8,11698
171350,Air_India,AI-840,Hyderabad,Night,one,Morning,Kolkata,Economy,12.17,8,11698
171351,Air_India,AI-541,Hyderabad,Evening,one,Morning,Kolkata,Economy,16.75,8,11698
171352,Air_India,AI-840,Hyderabad,Night,one,Evening,Kolkata,Economy,22.33,8,11698
